framecount,velocity,heading,gain_v,gain_h,cumulative tail angle,pt_0,pt_1,pt_2,pt_3,pt_4,pt_5
640,0.04724841707124095,-0.6043618516225614,1.0,1.0,-0.3073098281436425,[  0 276],[ 49 285],[ 96 268],[145 272],[194 268],[243 261]
641,0.04689139594568469,-0.5999588488454045,1.0,1.0,-0.345403736002988,[  0 276],[ 49 285],[ 98 280],[147 272],[196 267],[245 259]
642,0.046566831286088094,-0.5969364315109101,1.0,1.0,-0.28638577930470677,[  0 276],[ 49 285],[ 98 280],[146 267],[195 263],[244 262]
643,0.04627177250463664,-0.595272095429278,1.0,1.0,-0.4078775032223326,[  0 276],[ 49 285],[ 98 280],[146 267],[195 263],[244 256]
644,0.04600353724877168,-0.5987780279372125,1.0,1.0,-0.45903683094642983,[  0 276],[ 47 291],[ 91 269],[140 267],[189 262],[238 254]
645,0.04182139749888335,-0.6088155758849242,1.0,1.0,-0.45903683094642983,[  0 276],[ 47 291],[ 91 269],[140 261],[189 256],[238 254]
646,0.038019452271712134,-0.623083701900275,1.0,1.0,-0.5313950736377727,[  0 276],[ 47 291],[ 95 280],[141 261],[190 257],[239 250]
647,0.034563138428829215,-0.6429959919555366,1.0,1.0,-0.6324563786016532,[  0 276],[ 49 279],[ 98 286],[141 262],[190 258],[238 246]
648,0.03142103493529929,-0.6686059682639585,1.0,1.0,-0.5166520862089551,[  0 276],[ 47 291],[ 96 286],[142 267],[191 269],[237 251]
649,0.028564577213908444,-0.697816509906262,1.0,1.0,-0.5726392142706854,[  0 276],[ 49 285],[ 97 274],[146 266],[195 273],[238 249]
650,0.025967797467189493,-0.7311141261412009,1.0,1.0,-0.44994302933190167,[  0 276],[ 47 291],[ 95 280],[143 266],[192 273],[238 254]
651,0.023607088606535903,-0.7647974296123117,1.0,1.0,-0.3886430275357582,[  0 276],[ 47 291],[ 96 286],[142 267],[191 269],[239 257]
652,0.021460989642305365,-0.7979853431469741,1.0,1.0,-0.39383075900987274,[  0 276],[ 49 285],[ 98 286],[144 267],[193 269],[241 257]
653,0.019509990583913967,-0.830517511240079,1.0,1.0,-0.45028950827003844,[  0 276],[ 49 285],[ 96 268],[145 266],[194 267],[242 254]
654,0.017736355076285425,-0.8615728425802625,1.0,1.0,-0.4560093412406041,[  0 276],[ 49 285],[ 96 268],[145 266],[194 273],[240 254]
655,0.016123959160259476,-0.8913635927764797,1.0,1.0,-0.4437658532036789,[  0 276],[ 47 291],[ 91 269],[140 261],[188 274],[234 255]
